Package,Count
matplotlib,32998
numpy,32819
pandas,25523
scipy,15946
ipywidgets,14811
voila,7847
seaborn,7234
scikit-learn,6022
requests,5656
packaging,4839
ipython,4614
plotly,4432
pillow,4247
jupyter,4235
python-dateutil,4030
six,4010
ipykernel,3746
sklearn,3632
nbconvert,3476
notebook,3451
fastai,3345
tqdm,3182
pyparsing,3155
traitlets,3152
jupyterlab,3096
jsonschema,2845
ipython-genutils,2825
sympy,2773
jupyter_contrib_nbextensions,2729
jupyter-core,2702
tornado,2700
decorator,2685
pytz,2664
jupyter-client,2649
cycler,2626
python_version,2618
pickleshare,2616
Pillow,2597
Jinja2,2595
pyzmq,2586
kiwisolver,2580
nbformat,2567
Pygments,2557
MarkupSafe,2541
wcwidth,2520
prompt-toolkit,2508
parso,2497
jedi,2490
backcall,2489
entrypoints,2433
webencodings,2413
attrs,2406
mistune,2390
pandocfilters,2345
bleach,2340
defusedxml,2330
testpath,2330
tensorflow,2303
chardet,2236
pyrsistent,2233
prometheus-client,2228
widgetsnbextension,2225
Send2Trash,2185
xlrd,2151
networkx,2124
certifi,2105
statsmodels,2039
bqplot,2023
idna,1986
terminado,1974
urllib3,1947
pexpect,1789
ptyprocess,1773
and,1735
folium,1722
jupyter-console,1653
jupyter-server-proxy,1623
nbinteract,1602
qtconsole,1536
ipympl,1536
pytest,1530
lxml,1515
joblib,1449
scikit-image,1412
openpyxl,1395
bokeh,1374
rise,1369
beautifulsoup4,1298
cffi,1298
python_full_version,1276
importlib-metadata,1275
pycparser,1263
graphviz,1256
jupyter-book,1229
nltk,1211
numba,1195
h5py,1146
zipp,1144
IPython,1127
colorama,1113
torch,1080
spacy,1075
geopandas,1041
appmode,1032
async-generator,985
PyYAML,973
opencv-python,961
jupyterlab-pygments,960
argon2-cffi,952
wordcloud,924
keras,888
nbclient,881
imageio,874
click,858
nest-asyncio,849
watermark,848
or,838
ipyvuetify,837
psutil,835
QtPy,829
voila-vuetify,829
bs4,826
tabulate,825
jupyterlab-server,821
appnope,803
altair,799
gensim,741
astropy,735
thinc,728
nbgitpuller,722
datetime,720
jupytext,715
pip,713
image,713
future,707
patsy,701
jupyter-contrib-nbextensions,680
pywinpty,680
setuptools,671
ipyleaflet,659
panda,652
torchvision,646
threadpoolctl,627
toolz,616
json5,610
jupyter-docx-bundler,603
sphinx,597
fastai2,581
geopy,577
dill,573
qgrid,568
xgboost,567
vdom,557
jupyterlab-widgets,555
jupyterlab-git,549
jupyter-server,541
RISE,537
typing-extensions,537
Werkzeug,531
wget,530
Cython,522
nbdime,512
pyyaml,506
pyarrow,503
retrying,502
branca,501
regex,500
jupyterlab_launcher,500
xarray,496
tensorboard,495
nbsphinx,488
protobuf,479
wrapt,479
SQLAlchemy,478
oauthlib,477
requests-oauthlib,471
descartes,457
psycopg2,455
Flask,431
ipyturtle,425
termcolor,424
ipyvolume,424
sphinx-gallery,423
jupyter-desktop-server,420
soupsieve,414
cufflinks,409
Markdown,407
cachetools,405
there,401
py,395
textblob,393
pyasn1,393
anyio,390
numpydoc,387
docutils,386
ply,385
mpmath,385
grpcio,381
absl-py,379
more-itertools,379
scikit_learn,376
toml,376
gast,375
multidict,373
html5lib,373
itsdangerous,370
qiskit,370
sniffio,370
pyLDAvis,363
imagesize,362
rsa,359
pyproj,359
dash,354
platform_machine,354
google-auth,349
pluggy,349
shapely,348
cloudpickle,347
nbstripout,346
datascience,346
pyasn1-modules,345
bash_kernel,344
google-auth-oauthlib,343
tables,342
autopep8,331
meshio,330
tensorflow-estimator,328
pytest-cov,328
julia,324
vega-datasets,322
panel,321
holoviews,317
jinja2,315
uk_covid19,314
pylint,313
cython,313
jupyter_client,312
et-xmlfile,312
wheel,310
fastbook,310
jdcal,309
yfinance,308
cryptography,308
vega,307
coverage,305
Babel,305
wasabi,304
opt-einsum,302
keyboard,300
google-pasta,295
jupyter-offlinenotebook,294
llvmlite,293
wikiwho_wrapper,293
flake8,292
pydot,282
ghp-import,280
Keras-Preprocessing,280
PyWavelets,280
tweepy,279
Keras,278
ipython-sql,277
sphinx_rtd_theme,276
nose,274
nibabel,272
pandas-datareader,271
biopython,271
docopt,269
jupyterthemes,268
rasterio,264
pyOpenSSL,263
astroquery,263
astunparse,262
nbdev,257
PySocks,255
fastcore,254
palettable,247
jupyter-nbextensions-configurator,245
biterm,245
nglview,244
pyroutelib3,243
sentencepiece,241
PyQt5,241
plac,236
isort,235
alabaster,234
umap-learn,231
pint,230
autograd,229
xlwt,229
streamlit,227
snowballstemmer,226
black,225
lightgbm,224
selenium,224
nbserverproxy,223
appdirs,223
preshed,222
python-constraint,221
mccabe,221
murmurhash,221
Sphinx,221
retworkx,220
simplegeneric,220
tifffile,220
fastjsonschema,218
filelock,218
prettytable,217
blis,215
netCDF4,214
flask,212
msgpack,211
tensorboard-plugin-wit,210
Shapely,210
nilearn,208
dask,208
osmnx,207
cymem,207
vega_datasets,206
plotnine,203
astor,203
wincertstore,202
srsly,202
pygments,201
fiona,201
pymongo,201
pymc3,200
corner,200
gspread,199
sphinx-intl,195
ipywebrtc,194
transifex-client,194
ipyevents,192
missingno,192
contextvars,192
plotly-express,191
azure-cognitiveservices-search-imagesearch,190
gym,190
astroid,189
numexpr,188
traittypes,188
pandas_datareader,187
opencv-contrib-python,187
boto3,187
geojson,186
datashader,185
distributed,185
catalogue,185
sortedcontainers,184
python-slugify,183
gunicorn,182
display,181
pycodestyle,179
librosa,178
pathlib,177
ruamel.yaml,175
fbprophet,175
ipycanvas,175
pyshp,175
plotly-geo,174
jupyter-contrib-core,173
lazy-object-proxy,173
sqlalchemy,173
dataclasses,173
atomicwrites,172
oauth2client,170
pystan,170
jupyter-dash,170
jupyterlab_latex,169
gdown,169
pydotplus,169
vpython,167
sphinxcontrib-bibtex,166
simplejson,165
jmespath,165
text-unidecode,165
ase,164
us,163
pmdarima,162
tzlocal,162
Keras-Applications,162
PyQt5-sip,161
shap,160
nbval,160
awscli,160
nodejs,157
opencv-python-headless,155
mlxtend,155
param,155
carto2gpd,155
aiohttp,154
jupyter_nbextensions_configurator,154
fastprogress,154
jupyter-packaging,154
hide_code,151
arrow,151
pybind11,151
keplergl,150
markupsafe,149
alembic,148
smart-open,147
backports.functools-lru-cache,146
s3transfer,146
nbclassic,146
Click,145
hvplot,145
botocore,144
rpy2,144
scikit-posthocs,143
cvxpy,143
glob2,142
quandl,142
esri2gpd,142
send2trash,141
itkwidgets,141
google-api-python-client,140
munch,139
iniconfig,139
sphinxcontrib-serializinghtml,138
tblib,138
xlsxwriter,138
XlsxWriter,137
