imports,buldingtime,installtime,created,started,finished,import.start,import.stop,run1.created,run1.started,run1.finished,run1.import.start,run1.import.stop,run2.created,run2.started,run2.finished,run2.import.start,run2.import.stop,run3.created,run3.started,run3.finished,run3.import.start,run3.import.stop,run4.created,run4.started,run4.finished,run4.import.start,run4.import.stop,run5.created,run5.started,run5.finished,run5.import.start,run5.import.stop
argparse,7.7,5,2024-04-12T18:48:13.117543931Z,2024-04-12T18:48:14.898844804Z,2024-04-12T18:48:16.106636231Z,2024-04-12T18:48:15.052046090Z,2024-04-12T18:48:15.094088440Z,2024-04-12T18:48:16.663756402Z,2024-04-12T18:48:17.240193028Z,2024-04-12T18:48:18.275095676Z,2024-04-12T18:48:17.253787106Z,2024-04-12T18:48:17.265420797Z,2024-04-12T18:48:18.844277357Z,2024-04-12T18:48:19.495674625Z,2024-04-12T18:48:20.529254541Z,2024-04-12T18:48:19.509747231Z,2024-04-12T18:48:19.520930371Z,2024-04-12T18:48:21.018778195Z,2024-04-12T18:48:21.541080715Z,2024-04-12T18:48:22.573819369Z,2024-04-12T18:48:21.553959859Z,2024-04-12T18:48:21.565440782Z,2024-04-12T18:48:23.056693851Z,2024-04-12T18:48:23.644849608Z,2024-04-12T18:48:24.679001873Z,2024-04-12T18:48:23.658142450Z,2024-04-12T18:48:23.669401037Z,2024-04-12T18:48:25.22649676Z,2024-04-12T18:48:25.84286107Z,2024-04-12T18:48:26.87841227Z,2024-04-12T18:48:25.857822671Z,2024-04-12T18:48:25.868653408Z
clean,9.4,6.3,2024-04-12T19:25:57.497769148Z,2024-04-12T19:26:00.049864275Z,2024-04-12T19:26:01.491525119Z,2024-04-12T19:26:00.444001556Z,2024-04-12T19:26:00.449977098Z,2024-04-12T19:26:02.270910458Z,2024-04-12T19:26:03.215830826Z,2024-04-12T19:26:04.234629688Z,2024-04-12T19:26:03.227240289Z,2024-04-12T19:26:03.227631453Z,2024-04-12T19:26:05.776593779Z,2024-04-12T19:26:06.831439568Z,2024-04-12T19:26:07.852531443Z,2024-04-12T19:26:06.844634592Z,2024-04-12T19:26:06.845016938Z,2024-04-12T19:26:08.630987829Z,2024-04-12T19:26:09.700962841Z,2024-04-12T19:26:10.721452262Z,2024-04-12T19:26:09.714849661Z,2024-04-12T19:26:09.715268885Z,2024-04-12T19:26:11.723915308Z,2024-04-12T19:26:12.81474324Z,2024-04-12T19:26:13.836086532Z,2024-04-12T19:26:12.828686861Z,2024-04-12T19:26:12.829005205Z,2024-04-12T19:26:14.70116874Z,2024-04-12T19:26:15.674442592Z,2024-04-12T19:26:16.695538501Z,2024-04-12T19:26:15.688479808Z,2024-04-12T19:26:15.688857749Z
collections,2.9,-1,2024-04-12T18:44:23.753778094Z,2024-04-12T18:44:26.097223852Z,2024-04-12T18:44:27.488877101Z,2024-04-12T18:44:26.393837366Z,2024-04-12T18:44:26.460515029Z,2024-04-12T18:44:28.140780463Z,2024-04-12T18:44:28.764237499Z,2024-04-12T18:44:29.818736989Z,2024-04-12T18:44:28.792925993Z,2024-04-12T18:44:28.810613761Z,2024-04-12T18:44:30.352073636Z,2024-04-12T18:44:30.988536412Z,2024-04-12T18:44:32.044076545Z,2024-04-12T18:44:31.018138567Z,2024-04-12T18:44:31.035880394Z,2024-04-12T18:44:32.572070888Z,2024-04-12T18:44:33.213027381Z,2024-04-12T18:44:34.269544129Z,2024-04-12T18:44:33.244372616Z,2024-04-12T18:44:33.261710484Z,2024-04-12T18:44:34.782006866Z,2024-04-12T18:44:35.376105686Z,2024-04-12T18:44:36.427057616Z,2024-04-12T18:44:35.407395143Z,2024-04-12T18:44:35.419190217Z,2024-04-12T18:44:36.976879405Z,2024-04-12T18:44:37.60910121Z,2024-04-12T18:44:38.664611501Z,2024-04-12T18:44:37.638746874Z,2024-04-12T18:44:37.656422452Z
colmena,21.7,17.9,2024-04-12T19:41:15.238822976Z,2024-04-12T19:41:19.476360347Z,2024-04-12T19:41:20.837495148Z,2024-04-12T19:41:19.809899536Z,2024-04-12T19:41:19.825311896Z,2024-04-12T19:41:21.40097528Z,2024-04-12T19:41:22.547953961Z,2024-04-12T19:41:23.568576509Z,2024-04-12T19:41:22.561103401Z,2024-04-12T19:41:22.561538297Z,2024-04-12T19:41:24.296528575Z,2024-04-12T19:41:25.302478384Z,2024-04-12T19:41:26.324186953Z,2024-04-12T19:41:25.316292245Z,2024-04-12T19:41:25.316805195Z,2024-04-12T19:41:27.239931026Z,2024-04-12T19:41:28.553034193Z,2024-04-12T19:41:29.574553202Z,2024-04-12T19:41:28.566866243Z,2024-04-12T19:41:28.567191675Z,2024-04-12T19:41:30.322303145Z,2024-04-12T19:41:31.312772331Z,2024-04-12T19:41:32.334327951Z,2024-04-12T19:41:31.327317204Z,2024-04-12T19:41:31.327725844Z,2024-04-12T19:41:33.292503297Z,2024-04-12T19:41:34.315346029Z,2024-04-12T19:41:35.335364121Z,2024-04-12T19:41:34.329289446Z,2024-04-12T19:41:34.329671446Z
common,10.3,7.2,2024-04-12T19:43:11.18678151Z,2024-04-12T19:43:13.195972704Z,2024-04-12T19:43:14.402913793Z,2024-04-12T19:43:13.375420610Z,2024-04-12T19:43:13.391821231Z,2024-04-12T19:43:14.909585461Z,2024-04-12T19:43:15.49762594Z,2024-04-12T19:43:16.518580625Z,2024-04-12T19:43:15.511403813Z,2024-04-12T19:43:15.511799066Z,2024-04-12T19:43:17.047495557Z,2024-04-12T19:43:17.748310329Z,2024-04-12T19:43:18.766883574Z,2024-04-12T19:43:17.759829292Z,2024-04-12T19:43:17.760185725Z,2024-04-12T19:43:19.264373646Z,2024-04-12T19:43:19.834133544Z,2024-04-12T19:43:20.855098401Z,2024-04-12T19:43:19.847625940Z,2024-04-12T19:43:19.848037993Z,2024-04-12T19:43:21.297550259Z,2024-04-12T19:43:21.868306941Z,2024-04-12T19:43:22.887182521Z,2024-04-12T19:43:21.880435136Z,2024-04-12T19:43:21.880883344Z,2024-04-12T19:43:23.315954345Z,2024-04-12T19:43:23.861661019Z,2024-04-12T19:43:24.883513842Z,2024-04-12T19:43:23.875685941Z,2024-04-12T19:43:23.876072577Z
copy,1.9,-1,2024-04-12T18:45:34.963164216Z,2024-04-12T18:45:36.677355223Z,2024-04-12T18:45:37.874149805Z,2024-04-12T18:45:36.833556681Z,2024-04-12T18:45:36.859043568Z,2024-04-12T18:45:38.535595804Z,2024-04-12T18:45:39.174411681Z,2024-04-12T18:45:40.223683781Z,2024-04-12T18:45:39.202207670Z,2024-04-12T18:45:39.215493881Z,2024-04-12T18:45:40.729362223Z,2024-04-12T18:45:41.400503633Z,2024-04-12T18:45:42.451166795Z,2024-04-12T18:45:41.429570745Z,2024-04-12T18:45:41.442563322Z,2024-04-12T18:45:43.049339908Z,2024-04-12T18:45:43.577602405Z,2024-04-12T18:45:44.633158757Z,2024-04-12T18:45:43.606801107Z,2024-04-12T18:45:43.625777620Z,2024-04-12T18:45:45.184090002Z,2024-04-12T18:45:45.774029747Z,2024-04-12T18:45:46.826349654Z,2024-04-12T18:45:45.805126372Z,2024-04-12T18:45:45.818366252Z,2024-04-12T18:45:47.392112406Z,2024-04-12T18:45:47.935694849Z,2024-04-12T18:45:48.985133367Z,2024-04-12T18:45:47.965278765Z,2024-04-12T18:45:47.977850891Z
csv,1.9,-1,2024-04-12T18:52:31.168048099Z,2024-04-12T18:52:32.756795071Z,2024-04-12T18:52:34.01699539Z,2024-04-12T18:52:32.913933210Z,2024-04-12T18:52:33.003272807Z,2024-04-12T18:52:34.574404858Z,2024-04-12T18:52:35.144654235Z,2024-04-12T18:52:36.244801384Z,2024-04-12T18:52:35.174494851Z,2024-04-12T18:52:35.235329482Z,2024-04-12T18:52:36.667227578Z,2024-04-12T18:52:37.234933724Z,2024-04-12T18:52:38.330672509Z,2024-04-12T18:52:37.259674496Z,2024-04-12T18:52:37.321157923Z,2024-04-12T18:52:38.784522864Z,2024-04-12T18:52:39.379466967Z,2024-04-12T18:52:40.476745161Z,2024-04-12T18:52:39.407676936Z,2024-04-12T18:52:39.467614458Z,2024-04-12T18:52:40.926273097Z,2024-04-12T18:52:41.509282981Z,2024-04-12T18:52:42.609096339Z,2024-04-12T18:52:41.539180645Z,2024-04-12T18:52:41.600748740Z,2024-04-12T18:52:43.080903367Z,2024-04-12T18:52:43.646341879Z,2024-04-12T18:52:44.744506297Z,2024-04-12T18:52:43.676178812Z,2024-04-12T18:52:43.735806305Z
cv2,241,16.5,2024-04-12T19:18:03.116480511Z,2024-04-12T19:18:06.804045986Z,2024-04-12T19:18:10.404188488Z,2024-04-12T19:18:07.329977972Z,2024-04-12T19:18:09.269793563Z,2024-04-12T19:18:11.197555269Z,2024-04-12T19:18:12.800605292Z,2024-04-12T19:18:14.091240537Z,2024-04-12T19:18:12.958307214Z,2024-04-12T19:18:13.054699376Z,2024-04-12T19:18:15.041418236Z,2024-04-12T19:18:16.415605178Z,2024-04-12T19:18:17.622071308Z,2024-04-12T19:18:16.428627879Z,2024-04-12T19:18:16.585507487Z,2024-04-12T19:18:20.108374258Z,2024-04-12T19:18:21.047171086Z,2024-04-12T19:18:22.250428705Z,2024-04-12T19:18:21.060825544Z,2024-04-12T19:18:21.217002396Z,2024-04-12T19:18:23.051043162Z,2024-04-12T19:18:24.078417393Z,2024-04-12T19:18:25.279728187Z,2024-04-12T19:18:24.092314120Z,2024-04-12T19:18:24.246918209Z,2024-04-12T19:18:26.300492196Z,2024-04-12T19:18:27.769257696Z,2024-04-12T19:18:28.972247747Z,2024-04-12T19:18:27.790359015Z,2024-04-12T19:18:27.938840035Z
data,9.6,7,2024-04-12T19:43:39.679901255Z,2024-04-12T19:43:41.419648117Z,2024-04-12T19:43:42.693744316Z,2024-04-12T19:43:41.568218896Z,2024-04-12T19:43:41.683103290Z,2024-04-12T19:43:43.142237968Z,2024-04-12T19:43:43.718903082Z,2024-04-12T19:43:44.764461333Z,2024-04-12T19:43:43.732388150Z,2024-04-12T19:43:43.753861074Z,2024-04-12T19:43:45.231528014Z,2024-04-12T19:43:45.847138261Z,2024-04-12T19:43:46.892433545Z,2024-04-12T19:43:45.860966112Z,2024-04-12T19:43:45.881306497Z,2024-04-12T19:43:47.419661417Z,2024-04-12T19:43:48.008126917Z,2024-04-12T19:43:49.051894707Z,2024-04-12T19:43:48.021162639Z,2024-04-12T19:43:48.042003990Z,2024-04-12T19:43:49.531468065Z,2024-04-12T19:43:50.101177708Z,2024-04-12T19:43:51.145460812Z,2024-04-12T19:43:50.114413576Z,2024-04-12T19:43:50.134880751Z,2024-04-12T19:43:51.594465257Z,2024-04-12T19:43:52.185127956Z,2024-04-12T19:43:53.232567817Z,2024-04-12T19:43:52.200552769Z,2024-04-12T19:43:52.222240568Z
datacite,10.9,8.3,2024-04-12T18:50:35.40874682Z,2024-04-12T18:50:37.089022149Z,2024-04-12T18:50:39.070487191Z,2024-04-12T18:50:37.239351816Z,2024-04-12T18:50:38.036047314Z,2024-04-12T18:50:39.595767124Z,2024-04-12T18:50:40.179139026Z,2024-04-12T18:50:41.38368289Z,2024-04-12T18:50:40.192461381Z,2024-04-12T18:50:40.349952889Z,2024-04-12T18:50:41.845626517Z,2024-04-12T18:50:42.526772438Z,2024-04-12T18:50:43.729116076Z,2024-04-12T18:50:42.540762421Z,2024-04-12T18:50:42.698053550Z,2024-04-12T18:50:44.213012632Z,2024-04-12T18:50:44.777820897Z,2024-04-12T18:50:45.97994877Z,2024-04-12T18:50:44.791015973Z,2024-04-12T18:50:44.947838864Z,2024-04-12T18:50:46.392614071Z,2024-04-12T18:50:46.930654123Z,2024-04-12T18:50:48.134047091Z,2024-04-12T18:50:46.944271416Z,2024-04-12T18:50:47.103029082Z,2024-04-12T18:50:48.545403238Z,2024-04-12T18:50:49.112592278Z,2024-04-12T18:50:50.316550443Z,2024-04-12T18:50:49.126095022Z,2024-04-12T18:50:49.286794034Z
