imports,buldingtime,installtime,created,started,finished,import.start,import.stop,run1.created,run1.started,run1.finished,run1.import.start,run1.import.stop,run1.,run2.created,run2.started,run2.finished,run2.import.start,run2.import.stop,run2.,run3.created,run3.started,run3.finished,run3.import.start,run3.import.stop,run3.,run4.created,run4.started,run4.finished,run4.import.start,run4.import.stop,run4.,run5.created,run5.started,run5.finished,run5.import.start,run5.import.stop,run5.
argparse,7.7,5.1,2024-04-12T20:05:20.134568547Z,2024-04-12T20:05:21.929170577Z,2024-04-12T20:05:23.136026541Z,2024-04-12T20:05:22.081011218Z,2024-04-12T20:05:22.122843361Z,2024-04-12T20:05:23.676768577Z,2024-04-12T20:05:24.190377275Z,2024-04-12T20:05:25.222551353Z,2024-04-12T20:05:24.203322609Z,2024-04-12T20:05:24.214730255Z,0,2024-04-12T20:05:25.694453435Z,2024-04-12T20:05:26.219426103Z,2024-04-12T20:05:27.25290758Z,2024-04-12T20:05:26.233239453Z,2024-04-12T20:05:26.244384131Z,0,2024-04-12T20:05:27.767418764Z,2024-04-12T20:05:28.339355937Z,2024-04-12T20:05:29.374710531Z,2024-04-12T20:05:28.354846950Z,2024-04-12T20:05:28.366259377Z,0,2024-04-12T20:05:29.845620161Z,2024-04-12T20:05:30.361697946Z,2024-04-12T20:05:31.395452855Z,2024-04-12T20:05:30.384679062Z,2024-04-12T20:05:30.386017093Z,0,2024-04-12T20:05:31.860267484Z,2024-04-12T20:05:32.427782797Z,2024-04-12T20:05:33.459536708Z,2024-04-12T20:05:32.455800057Z,2024-04-12T20:05:32.455813702Z,0
clean,8.4,5.4,2024-04-12T20:35:33.474129143Z,2024-04-12T20:35:35.436797192Z,2024-04-12T20:35:36.609705053Z,2024-04-12T20:35:35.591641688Z,2024-04-12T20:35:35.598120403Z,2024-04-12T20:35:37.187821517Z,2024-04-12T20:35:37.800908097Z,2024-04-12T20:35:38.821795391Z,2024-04-12T20:35:37.814391383Z,2024-04-12T20:35:37.814708022Z,0,2024-04-12T20:35:39.406906635Z,2024-04-12T20:35:40.111320175Z,2024-04-12T20:35:41.130734523Z,2024-04-12T20:35:40.125771667Z,2024-04-12T20:35:40.125783249Z,0,2024-04-12T20:35:41.645023507Z,2024-04-12T20:35:42.351380463Z,2024-04-12T20:35:43.371788151Z,2024-04-12T20:35:42.364529044Z,2024-04-12T20:35:42.364852111Z,0,2024-04-12T20:35:43.815845227Z,2024-04-12T20:35:44.342754071Z,2024-04-12T20:35:45.362634241Z,2024-04-12T20:35:44.355477145Z,2024-04-12T20:35:44.355815105Z,0,2024-04-12T20:35:45.832950657Z,2024-04-12T20:35:46.352183932Z,2024-04-12T20:35:47.372124837Z,2024-04-12T20:35:46.364654871Z,2024-04-12T20:35:46.364968489Z,0
collections,2.9,-1,2024-04-12T20:01:35.34504582Z,2024-04-12T20:01:37.445808844Z,2024-04-12T20:01:38.790041203Z,2024-04-12T20:01:37.738143408Z,2024-04-12T20:01:37.776588027Z,2024-04-12T20:01:39.253675309Z,2024-04-12T20:01:39.816459961Z,2024-04-12T20:01:40.869828251Z,2024-04-12T20:01:39.845044058Z,2024-04-12T20:01:39.862420398Z,0,2024-04-12T20:01:41.334127794Z,2024-04-12T20:01:41.907733272Z,2024-04-12T20:01:42.963123358Z,2024-04-12T20:01:41.936754522Z,2024-04-12T20:01:41.954490537Z,0,2024-04-12T20:01:43.449062039Z,2024-04-12T20:01:43.946778316Z,2024-04-12T20:01:45.006653544Z,2024-04-12T20:01:43.981547325Z,2024-04-12T20:01:43.998915995Z,0,2024-04-12T20:01:45.442848596Z,2024-04-12T20:01:45.940651948Z,2024-04-12T20:01:46.994725474Z,2024-04-12T20:01:45.969185779Z,2024-04-12T20:01:45.987066438Z,0,2024-04-12T20:01:47.49143362Z,2024-04-12T20:01:48.096443327Z,2024-04-12T20:01:49.150450541Z,2024-04-12T20:01:48.125147362Z,2024-04-12T20:01:48.142439818Z,0
colmena,17.9,14.6,2024-04-12T20:47:54.154623762Z,2024-04-12T20:47:56.044307106Z,2024-04-12T20:47:57.217184062Z,2024-04-12T20:47:56.193706739Z,2024-04-12T20:47:56.206159759Z,2024-04-12T20:47:57.745268306Z,2024-04-12T20:47:58.286582299Z,2024-04-12T20:47:59.308151586Z,2024-04-12T20:47:58.300668448Z,2024-04-12T20:47:58.301125763Z,0,2024-04-12T20:47:59.856688625Z,2024-04-12T20:48:00.428564406Z,2024-04-12T20:48:01.450053699Z,2024-04-12T20:48:00.442873914Z,2024-04-12T20:48:00.443384930Z,0,2024-04-12T20:48:01.984370879Z,2024-04-12T20:48:02.581393811Z,2024-04-12T20:48:03.602074446Z,2024-04-12T20:48:02.594774871Z,2024-04-12T20:48:02.595125823Z,0,2024-04-12T20:48:04.099542017Z,2024-04-12T20:48:04.654808428Z,2024-04-12T20:48:05.676104321Z,2024-04-12T20:48:04.668177525Z,2024-04-12T20:48:04.668712406Z,0,2024-04-12T20:48:06.164171012Z,2024-04-12T20:48:06.768027692Z,2024-04-12T20:48:07.78879314Z,2024-04-12T20:48:06.781552266Z,2024-04-12T20:48:06.781957988Z,0
common,10,6.9,2024-04-12T20:49:28.356528555Z,2024-04-12T20:49:30.311224771Z,2024-04-12T20:49:31.479522197Z,2024-04-12T20:49:30.462467476Z,2024-04-12T20:49:30.468364858Z,2024-04-12T20:49:32.021839975Z,2024-04-12T20:49:32.588155407Z,2024-04-12T20:49:33.608985774Z,2024-04-12T20:49:32.601621446Z,2024-04-12T20:49:32.602048255Z,0,2024-04-12T20:49:34.157236861Z,2024-04-12T20:49:34.813993753Z,2024-04-12T20:49:35.836974241Z,2024-04-12T20:49:34.829022797Z,2024-04-12T20:49:34.829425384Z,0,2024-04-12T20:49:36.333552793Z,2024-04-12T20:49:37.277284735Z,2024-04-12T20:49:38.300541426Z,2024-04-12T20:49:37.293065891Z,2024-04-12T20:49:37.293703043Z,0,2024-04-12T20:49:38.779719381Z,2024-04-12T20:49:39.715670627Z,2024-04-12T20:49:40.736218981Z,2024-04-12T20:49:39.748304422Z,2024-04-12T20:49:39.748330310Z,0,2024-04-12T20:49:41.39054766Z,2024-04-12T20:49:42.003066739Z,2024-04-12T20:49:43.02572145Z,2024-04-12T20:49:42.018576944Z,2024-04-12T20:49:42.019059932Z,0
copy,2,-1,2024-04-12T20:02:43.548022878Z,2024-04-12T20:02:45.285381083Z,2024-04-12T20:02:46.477482148Z,2024-04-12T20:02:45.442530118Z,2024-04-12T20:02:45.463250348Z,2024-04-12T20:02:47.027028828Z,2024-04-12T20:02:47.705673084Z,2024-04-12T20:02:48.756572013Z,2024-04-12T20:02:47.735119743Z,2024-04-12T20:02:47.747801149Z,0,2024-04-12T20:02:49.300247556Z,2024-04-12T20:02:49.881681448Z,2024-04-12T20:02:50.930803897Z,2024-04-12T20:02:49.909688621Z,2024-04-12T20:02:49.922899520Z,0,2024-04-12T20:02:51.4273173Z,2024-04-12T20:02:51.985401142Z,2024-04-12T20:02:53.035491316Z,2024-04-12T20:02:52.013900041Z,2024-04-12T20:02:52.026863084Z,0,2024-04-12T20:02:53.489640341Z,2024-04-12T20:02:54.059427327Z,2024-04-12T20:02:55.108320111Z,2024-04-12T20:02:54.087899781Z,2024-04-12T20:02:54.100832000Z,0,2024-04-12T20:02:55.547412908Z,2024-04-12T20:02:56.113236823Z,2024-04-12T20:02:57.166562363Z,2024-04-12T20:02:56.145352557Z,2024-04-12T20:02:56.158660506Z,0
csv,2.1,-1,2024-04-12T20:09:37.91596503Z,2024-04-12T20:09:39.616590311Z,2024-04-12T20:09:40.895818759Z,2024-04-12T20:09:39.780337009Z,2024-04-12T20:09:39.881572905Z,2024-04-12T20:09:41.415481603Z,2024-04-12T20:09:41.992173783Z,2024-04-12T20:09:43.090400665Z,2024-04-12T20:09:42.020420469Z,2024-04-12T20:09:42.081008946Z,0,2024-04-12T20:09:43.600075514Z,2024-04-12T20:09:44.190468651Z,2024-04-12T20:09:45.290495359Z,2024-04-12T20:09:44.220892586Z,2024-04-12T20:09:44.281164353Z,0,2024-04-12T20:09:45.764562433Z,2024-04-12T20:09:46.376949016Z,2024-04-12T20:09:47.475629368Z,2024-04-12T20:09:46.405067543Z,2024-04-12T20:09:46.466153629Z,0,2024-04-12T20:09:47.981428463Z,2024-04-12T20:09:48.615040192Z,2024-04-12T20:09:49.714732379Z,2024-04-12T20:09:48.644272846Z,2024-04-12T20:09:48.705227829Z,0,2024-04-12T20:09:50.259845036Z,2024-04-12T20:09:50.895836957Z,2024-04-12T20:09:51.994904727Z,2024-04-12T20:09:50.926019183Z,2024-04-12T20:09:50.985261917Z,0
cv2,159.1,13.3,2024-04-12T20:30:24.786102927Z,2024-04-12T20:30:26.795608201Z,2024-04-12T20:30:29.689427882Z,2024-04-12T20:30:26.985809403Z,2024-04-12T20:30:28.571669858Z,2024-04-12T20:30:30.177755692Z,2024-04-12T20:30:30.803517821Z,2024-04-12T20:30:32.029781914Z,2024-04-12T20:30:30.817281432Z,2024-04-12T20:30:30.993631194Z,0,2024-04-12T20:30:32.512307027Z,2024-04-12T20:30:33.126194596Z,2024-04-12T20:30:34.33067633Z,2024-04-12T20:30:33.138509492Z,2024-04-12T20:30:33.298347345Z,0,2024-04-12T20:30:34.897781103Z,2024-04-12T20:30:35.508928007Z,2024-04-12T20:30:36.709998791Z,2024-04-12T20:30:35.522042639Z,2024-04-12T20:30:35.677814609Z,0,2024-04-12T20:30:37.245368427Z,2024-04-12T20:30:37.781635532Z,2024-04-12T20:30:38.981253655Z,2024-04-12T20:30:37.795204731Z,2024-04-12T20:30:37.951341702Z,0,2024-04-12T20:30:39.4856314Z,2024-04-12T20:30:40.100655235Z,2024-04-12T20:30:41.302215957Z,2024-04-12T20:30:40.114141557Z,2024-04-12T20:30:40.269369876Z,0
data,9.8,6.9,2024-04-12T20:49:57.485459356Z,2024-04-12T20:49:59.252321246Z,2024-04-12T20:50:00.539002676Z,2024-04-12T20:49:59.402329457Z,2024-04-12T20:49:59.527918994Z,2024-04-12T20:50:01.013229961Z,2024-04-12T20:50:01.626043423Z,2024-04-12T20:50:02.673837698Z,2024-04-12T20:50:01.640479357Z,2024-04-12T20:50:01.662847859Z,0,2024-04-12T20:50:03.169990263Z,2024-04-12T20:50:03.744249214Z,2024-04-12T20:50:04.790290188Z,2024-04-12T20:50:03.757183783Z,2024-04-12T20:50:03.778087080Z,0,2024-04-12T20:50:05.195947845Z,2024-04-12T20:50:05.762435579Z,2024-04-12T20:50:06.80907377Z,2024-04-12T20:50:05.775457319Z,2024-04-12T20:50:05.796351060Z,0,2024-04-12T20:50:07.275419315Z,2024-04-12T20:50:07.938264094Z,2024-04-12T20:50:08.986811565Z,2024-04-12T20:50:07.955024210Z,2024-04-12T20:50:07.977004285Z,0,2024-04-12T20:50:09.464923606Z,2024-04-12T20:50:09.994114515Z,2024-04-12T20:50:11.039233077Z,2024-04-12T20:50:10.008868051Z,2024-04-12T20:50:10.029269304Z,0
datacite,11.4,8.8,2024-04-12T20:07:43.338786745Z,2024-04-12T20:07:45.042881832Z,2024-04-12T20:07:47.006311372Z,2024-04-12T20:07:45.191623845Z,2024-04-12T20:07:45.967446722Z,2024-04-12T20:07:47.615211338Z,2024-04-12T20:07:48.132144846Z,2024-04-12T20:07:49.332317968Z,2024-04-12T20:07:48.145847284Z,2024-04-12T20:07:48.302209183Z,0,2024-04-12T20:07:49.846560495Z,2024-04-12T20:07:50.508782612Z,2024-04-12T20:07:51.711666243Z,2024-04-12T20:07:50.523263712Z,2024-04-12T20:07:50.681277152Z,0,2024-04-12T20:07:52.194984928Z,2024-04-12T20:07:52.753403659Z,2024-04-12T20:07:53.959028269Z,2024-04-12T20:07:52.768558347Z,2024-04-12T20:07:52.926562449Z,0,2024-04-12T20:07:54.473743206Z,2024-04-12T20:07:55.028393923Z,2024-04-12T20:07:56.226946831Z,2024-04-12T20:07:55.040739660Z,2024-04-12T20:07:55.196804017Z,0,2024-04-12T20:07:56.697254179Z,2024-04-12T20:07:57.231313561Z,2024-04-12T20:07:58.431202328Z,2024-04-12T20:07:57.243530362Z,2024-04-12T20:07:57.399060735Z,0
dataset,12.2,8.4,2024-04-12T20:20:28.614490901Z,2024-04-12T20:20:30.660464532Z,2024-04-12T20:20:33.111699998Z,2024-04-12T20:20:30.815425865Z,2024-04-12T20:20:32.047257189Z,2024-04-12T20:20:33.667463909Z,2024-04-12T20:20:34.299634795Z,2024-04-12T20:20:35.633257557Z,2024-04-12T20:20:34.311605679Z,2024-04-12T20:20:34.582577032Z,0,2024-04-12T20:20:36.18799285Z,2024-04-12T20:20:36.786660578Z,2024-04-12T20:20:38.12739418Z,2024-04-12T20:20:36.800026733Z,2024-04-12T20:20:37.074536765Z,0,2024-04-12T20:20:38.600146682Z,2024-04-12T20:20:39.221605201Z,2024-04-12T20:20:40.555681078Z,2024-04-12T20:20:39.235385538Z,2024-04-12T20:20:39.504969191Z,0,2024-04-12T20:20:41.016507492Z,2024-04-12T20:20:41.601536161Z,2024-04-12T20:20:42.952909872Z,2024-04-12T20:20:41.616076483Z,2024-04-12T20:20:41.901849911Z,0,2024-04-12T20:20:43.442355187Z,2024-04-12T20:20:44.134091255Z,2024-04-12T20:20:45.465760625Z,2024-04-12T20:20:44.147287505Z,2024-04-12T20:20:44.414065205Z,0
datetime,9,6.1,2024-04-12T20:03:10.4099089Z,2024-04-12T20:03:12.167234519Z,2024-04-12T20:03:13.372915953Z,2024-04-12T20:03:12.346497261Z,2024-04-12T20:03:12.360442571Z,2024-04-12T20:03:13.878185573Z,2024-04-12T20:03:14.411286333Z,2024-04-12T20:03:15.442729815Z,2024-04-12T20:03:14.430967478Z,2024-04-12T20:03:14.433665779Z,0,2024-04-12T20:03:15.932695973Z,2024-04-12T20:03:16.494345898Z,2024-04-12T20:03:17.527454551Z,2024-04-12T20:03:16.514809043Z,2024-04-12T20:03:16.517451046Z,0,2024-04-12T20:03:17.99377687Z,2024-04-12T20:03:18.49745424Z,2024-04-12T20:03:19.530367258Z,2024-04-12T20:03:18.516780955Z,2024-04-12T20:03:18.519413132Z,0,2024-04-12T20:03:20.042685821Z,2024-04-12T20:03:20.62867343Z,2024-04-12T20:03:21.659249539Z,2024-04-12T20:03:20.648593736Z,2024-04-12T20:03:20.651259080Z,0,2024-04-12T20:03:22.106139771Z,2024-04-12T20:03:22.65264606Z,2024-04-12T20:03:23.683331734Z,2024-04-12T20:03:22.672482435Z,2024-04-12T20:03:22.675075680Z,0
deriva,15.4,12.4,2024-04-12T20:26:10.120111686Z,2024-04-12T20:26:11.853812318Z,2024-04-12T20:26:13.090070208Z,2024-04-12T20:26:12.008687751Z,2024-04-12T20:26:12.074857867Z,2024-04-12T20:26:13.576648135Z,2024-04-12T20:26:14.152220178Z,2024-04-12T20:26:15.19343137Z,2024-04-12T20:26:14.165500209Z,2024-04-12T20:26:14.183339639Z,0,2024-04-12T20:26:15.702235725Z,2024-04-12T20:26:16.241757845Z,2024-04-12T20:26:17.282875589Z,2024-04-12T20:26:16.255108091Z,2024-04-12T20:26:16.272388298Z,0,2024-04-12T20:26:17.738043124Z,2024-04-12T20:26:18.332350276Z,2024-04-12T20:26:19.372946578Z,2024-04-12T20:26:18.345592311Z,2024-04-12T20:26:18.362935598Z,0,2024-04-12T20:26:19.790149239Z,2024-04-12T20:26:20.329822334Z,2024-04-12T20:26:21.369343354Z,2024-04-12T20:26:20.343004176Z,2024-04-12T20:26:20.359669702Z,0,2024-04-12T20:26:21.893472834Z,2024-04-12T20:26:22.432640872Z,2024-04-12T20:26:23.473345931Z,2024-04-12T20:26:22.446809441Z,2024-04-12T20:26:22.463901380Z,0
