"argparse","1.02GB"
"clean","1.02GB"
"collections","1.01GB"
"colmena","1.08GB"
"common","1.02GB"
"copy","1.01GB"
"csv","1.01GB"
"cv2","2.17GB"
"data","1.02GB"
"datacite","1.04GB"
"dataset","1.04GB"
"datetime","1.02GB"
"deriva","1.06GB"
"dill","1.02GB"
"eqsql","1.08GB"
"fnmatch","1.01GB"
"funcx","1.06GB"
"glob","1.01GB"
"globus_sdk","1.04GB"
"gzip","1.01GB"
"h5py","1.11GB"
"hashlib","1.01GB"
"home_run","1.02GB"
"identify","1.02GB"
"imageio","1.12GB"
"imblearn","1.3GB"
"importlib","1.01GB"
"inspect","1.01GB"
"io","1.01GB"
"ipdb","1.05GB"
"itertools","1.01GB"
"json","1.01GB"
"jsonschema","1.03GB"
"kafka","1.02GB"
"keras","3GB"
"libensemble","1.12GB"
"logging","1.01GB"
"math","1.01GB"
"matplotlib","1.19GB"
"mimetypes","1.01GB"
"mlflow","1.73GB"
"mplsoccer","1.42GB"
"multiprocessing","1.01GB"
"networkx","1.03GB"
"numpy","1.1GB"
"os","1.01GB"
"osprey","1.03GB"
"pandas","1.18GB"
"parsl","1.06GB"
"pathlib","1.02GB"
"pdb","1.01GB"
"pickle","1.01GB"
"PIL","1.04GB"
"platform","1.01GB"
"proxystore","1.05GB"
"psij","1.02GB"
"psutil","1.02GB"
"puremagic","1.02GB"
"pyhf","1.25GB"
"pynvml","1.02GB"
"python_tsp","1.12GB"
"quickstats","1.27GB"
"random","1.01GB"
"re","1.01GB"
"requests","1.02GB"
"scipy","1.24GB"
"secrets","1.01GB"
"setproctitle","1.02GB"
"shlex","1.01GB"
"shutil","1.01GB"
"sklearn","1.3GB"
"socket","1.01GB"
"statsmodels","1.37GB"
"subprocess","1.01GB"
"sys","1.01GB"
"tarfile","1.01GB"
"tempfile","1.01GB"
"tensorflow","3GB"
"threading","1.01GB"
"time","1.01GB"
"timeit","1.01GB"
"torch","6.14GB"
"torchvision","6.26GB"
"traceback","1.01GB"
"typing","1.02GB"
"ulid","1.02GB"
"urllib","1.01GB"
"urllib3","1.02GB"
"uuid","1.02GB"
"warnings","1.01GB"
"webbrowser","1.01GB"
"yaml","1.02GB"
