imports,buldingtime,installtime,created,started,finished,import.start,import.stop,run1.created,run1.started,run1.finished,run1.import.start,run1.import.stop,run1.installtime,run2.created,run2.started,run2.finished,run2.import.start,run2.import.stop,run2.installtime,run3.created,run3.started,run3.finished,run3.import.start,run3.import.stop,run3.installtime,run4.created,run4.started,run4.finished,run4.import.start,run4.import.stop,run4.installtime,run5.created,run5.started,run5.finished,run5.import.start,run5.import.stop,run5.installtime
argparse;copy;datetime;funcx;itertools;json;matplotlib;numpy;os;pathlib;shutil;sys;threading;typing,0,29.3620216846466,2024-05-07T20:23:26.302718448Z,2024-05-07T20:23:26.62265512Z,2024-05-07T20:23:58.097931693Z,2024-05-07T20:23:56.388980427Z,2024-05-07T20:23:56.983721021Z,2024-05-07T20:23:58.666966883Z,2024-05-07T20:23:58.907063701Z,2024-05-07T20:24:29.758370185Z,2024-05-07T20:24:28.080381567Z,2024-05-07T20:24:28.672918043Z,28.7930018901825,2024-05-07T20:24:30.719796395Z,2024-05-07T20:24:31.026886487Z,2024-05-07T20:25:01.223044405Z,2024-05-07T20:24:59.489985068Z,2024-05-07T20:25:00.141059747Z,28.0758743286133,2024-05-07T20:25:02.259031242Z,2024-05-07T20:25:02.472397319Z,2024-05-07T20:25:33.111813046Z,2024-05-07T20:25:31.524211157Z,2024-05-07T20:25:32.031541693Z,28.6868331432343,2024-05-07T20:25:33.747765212Z,2024-05-07T20:25:33.996307507Z,2024-05-07T20:26:03.382342263Z,2024-05-07T20:26:01.706555943Z,2024-05-07T20:26:02.296117479Z,27.3539621829987,2024-05-07T20:26:04.354195597Z,2024-05-07T20:26:04.558538071Z,2024-05-07T20:26:35.008961871Z,2024-05-07T20:26:33.297146490Z,2024-05-07T20:26:33.917992998Z,28.3700144290924
argparse;copy;funcx;itertools;json;matplotlib;numpy;os;pathlib;shutil;sys;threading;typing,0,26.7002356052399,2024-05-07T20:26:38.075405357Z,2024-05-07T20:26:38.371316577Z,2024-05-07T20:27:07.141096566Z,2024-05-07T20:27:05.445926252Z,2024-05-07T20:27:06.054741825Z,2024-05-07T20:27:08.511650409Z,2024-05-07T20:27:08.752039669Z,2024-05-07T20:27:36.766480584Z,2024-05-07T20:27:35.056846431Z,2024-05-07T20:27:35.678266248Z,25.9156506061554,2024-05-07T20:27:37.749581043Z,2024-05-07T20:27:38.031533992Z,2024-05-07T20:28:06.636911263Z,2024-05-07T20:28:05.033191922Z,2024-05-07T20:28:05.555740768Z,26.6546928882599,2024-05-07T20:28:07.621394767Z,2024-05-07T20:28:07.844258669Z,2024-05-07T20:28:36.520105536Z,2024-05-07T20:28:34.808442179Z,2024-05-07T20:28:35.386672686Z,26.6100175380707,2024-05-07T20:28:37.029981704Z,2024-05-07T20:28:37.243000765Z,2024-05-07T20:29:07.621234267Z,2024-05-07T20:29:05.946862567Z,2024-05-07T20:29:06.537003067Z,28.3439338207245,2024-05-07T20:29:08.341961271Z,2024-05-07T20:29:08.596789359Z,2024-05-07T20:29:36.497299319Z,2024-05-07T20:29:34.889851595Z,2024-05-07T20:29:35.412028121Z,25.9353809356689
argparse;sys,0,3.26392579078674,2024-05-07T20:29:39.417021011Z,2024-05-07T20:29:39.754202011Z,2024-05-07T20:29:44.357213595Z,2024-05-07T20:29:43.333886673Z,2024-05-07T20:29:43.347034366Z,2024-05-07T20:29:44.731797364Z,2024-05-07T20:29:45.000746115Z,2024-05-07T20:29:48.631383946Z,2024-05-07T20:29:47.609167074Z,2024-05-07T20:29:47.621506766Z,2.27082872390747,2024-05-07T20:29:49.022223805Z,2024-05-07T20:29:49.233029941Z,2024-05-07T20:29:52.710599914Z,2024-05-07T20:29:51.689519167Z,2024-05-07T20:29:51.701713330Z,2.13986039161682,2024-05-07T20:29:53.096414909Z,2024-05-07T20:29:53.356768784Z,2024-05-07T20:29:57.363157224Z,2024-05-07T20:29:56.340557914Z,2024-05-07T20:29:56.352769718Z,2.65700483322144,2024-05-07T20:29:57.756685036Z,2024-05-07T20:29:57.992814952Z,2024-05-07T20:30:01.310327524Z,2024-05-07T20:30:00.288628022Z,2024-05-07T20:30:00.300057421Z,2.07706522941589,2024-05-07T20:30:01.737358784Z,2024-05-07T20:30:01.922945361Z,2024-05-07T20:30:05.415954672Z,2024-05-07T20:30:04.392557755Z,2024-05-07T20:30:04.405906198Z,2.19430184364319
CLEAN,0,3.22662544250488,2024-05-07T20:30:07.669865842Z,2024-05-07T20:30:07.971218752Z,2024-05-07T20:30:12.556473592Z,2024-05-07T20:30:11.548470418Z,2024-05-07T20:30:11.548854855Z,2024-05-07T20:30:12.975926919Z,2024-05-07T20:30:13.217845295Z,2024-05-07T20:30:17.206406971Z,2024-05-07T20:30:16.197878312Z,2024-05-07T20:30:16.198245836Z,2.66100454330444,2024-05-07T20:30:17.614769303Z,2024-05-07T20:30:17.829705344Z,2024-05-07T20:30:21.52610579Z,2024-05-07T20:30:20.515712055Z,2024-05-07T20:30:20.515973013Z,2.46689176559448,2024-05-07T20:30:21.900769221Z,2024-05-07T20:30:22.12901299Z,2024-05-07T20:30:26.085820029Z,2024-05-07T20:30:25.076931832Z,2024-05-07T20:30:25.077291437Z,2.63560652732849,2024-05-07T20:30:26.499006497Z,2024-05-07T20:30:26.69024171Z,2024-05-07T20:30:30.203287749Z,2024-05-07T20:30:29.195821946Z,2024-05-07T20:30:29.196147055Z,2.23632645606995,2024-05-07T20:30:30.598310598Z,2024-05-07T20:30:30.822958026Z,2024-05-07T20:30:34.521185636Z,2024-05-07T20:30:33.512891327Z,2024-05-07T20:30:33.513274158Z,2.43717503547668
CLEAN;os,0,3.40400505065918,2024-05-07T20:30:36.821784514Z,2024-05-07T20:30:37.103034492Z,2024-05-07T20:30:41.841295825Z,2024-05-07T20:30:40.831847163Z,2024-05-07T20:30:40.832414479Z,2024-05-07T20:30:42.247146838Z,2024-05-07T20:30:42.464732588Z,2024-05-07T20:30:46.089763659Z,2024-05-07T20:30:45.081169706Z,2024-05-07T20:30:45.081546595Z,2.34132885932922,2024-05-07T20:30:46.504862307Z,2024-05-07T20:30:46.765056692Z,2024-05-07T20:30:50.119755147Z,2024-05-07T20:30:49.112160510Z,2024-05-07T20:30:49.112458589Z,1.99370694160461,2024-05-07T20:30:50.493989859Z,2024-05-07T20:30:50.747527069Z,2024-05-07T20:30:54.584668986Z,2024-05-07T20:30:53.577703266Z,2024-05-07T20:30:53.578025495Z,2.50797033309937,2024-05-07T20:30:54.968377595Z,2024-05-07T20:30:55.200652266Z,2024-05-07T20:30:58.723740559Z,2024-05-07T20:30:57.715075165Z,2024-05-07T20:30:57.715428394Z,2.2804479598999,2024-05-07T20:30:59.160402051Z,2024-05-07T20:30:59.403066958Z,2024-05-07T20:31:02.926023493Z,2024-05-07T20:31:01.917430179Z,2024-05-07T20:31:01.917827767Z,2.26640295982361
CLEAN;os;pandas,0,14.4806780815125,2024-05-07T20:31:05.426878558Z,2024-05-07T20:31:05.714860344Z,2024-05-07T20:31:22.027886752Z,2024-05-07T20:31:20.481846486Z,2024-05-07T20:31:20.958883560Z,2024-05-07T20:31:23.226483857Z,2024-05-07T20:31:23.497139081Z,2024-05-07T20:31:39.374794Z,2024-05-07T20:31:37.887919342Z,2024-05-07T20:31:38.307577884Z,14.1062116622925,2024-05-07T20:31:40.386738769Z,2024-05-07T20:31:40.616730404Z,2024-05-07T20:31:56.251828308Z,2024-05-07T20:31:54.717289715Z,2024-05-07T20:31:55.183456838Z,13.7745199203491,2024-05-07T20:31:57.294182011Z,2024-05-07T20:31:57.53888423Z,2024-05-07T20:32:12.737928214Z,2024-05-07T20:32:11.198507532Z,2024-05-07T20:32:11.672501337Z,13.2760078907013,2024-05-07T20:32:13.843204604Z,2024-05-07T20:32:14.072711209Z,2024-05-07T20:32:29.491266605Z,2024-05-07T20:32:28.004006889Z,2024-05-07T20:32:28.423784211Z,13.6432721614838,2024-05-07T20:32:30.576795456Z,2024-05-07T20:32:30.803588812Z,2024-05-07T20:32:46.677139133Z,2024-05-07T20:32:45.096794121Z,2024-05-07T20:32:45.603294271Z,13.9432084560394
collections;dataset;imblearn;numpy;os;pandas;sklearn;sys;torch,0.1,2.66662223736445,2024-05-07T20:32:49.797692149Z,2024-05-07T20:32:50.082735285Z,2024-05-07T20:35:35.82493728Z,2024-05-07T20:35:31.167824061Z,2024-05-07T20:35:34.276595936Z,2024-05-07T20:35:43.486346189Z,2024-05-07T20:35:43.801182976Z,2024-05-07T20:38:39.835188476Z,2024-05-07T20:38:35.321139121Z,2024-05-07T20:38:38.380119104Z,2.84513657887777,2024-05-07T20:38:47.229513513Z,2024-05-07T20:38:47.516807088Z,2024-05-07T20:41:42.252970744Z,2024-05-07T20:41:37.684036934Z,2024-05-07T20:41:40.712275329Z,2.82142567237218,2024-05-07T20:41:49.54229312Z,2024-05-07T20:41:49.798734937Z,2024-05-07T20:44:33.09967076Z,2024-05-07T20:44:28.450858815Z,2024-05-07T20:44:31.535539227Z,2.63166833718618,2024-05-07T20:44:40.356266271Z,2024-05-07T20:44:40.590376654Z,2024-05-07T20:47:25.590674896Z,2024-05-07T20:47:21.096734314Z,2024-05-07T20:47:24.041445991Z,2.66107848882675,2024-05-07T20:47:33.114170466Z,2024-05-07T20:47:33.368108633Z,2024-05-07T20:50:18.072866691Z,2024-05-07T20:50:13.485411395Z,2024-05-07T20:50:16.573051232Z,2.65600655078888
collections;dataset;numpy;os;pandas;sklearn;sys;torch,0,2.66806921958923,2024-05-07T20:50:27.992657741Z,2024-05-07T20:50:28.323089177Z,2024-05-07T20:53:13.699210507Z,2024-05-07T20:53:09.297228640Z,2024-05-07T20:53:12.170263156Z,2024-05-07T20:53:21.508996645Z,2024-05-07T20:53:21.765127722Z,2024-05-07T20:56:05.561054418Z,2024-05-07T20:56:01.072693246Z,2024-05-07T20:56:04.039687365Z,2.6428116718928,2024-05-07T20:56:13.182774472Z,2024-05-07T20:56:13.516675293Z,2024-05-07T20:58:58.070014001Z,2024-05-07T20:58:53.853823545Z,2024-05-07T20:58:56.595396258Z,2.658744653066,2024-05-07T20:59:05.398452178Z,2024-05-07T20:59:05.705538412Z,2024-05-07T21:01:48.696789591Z,2024-05-07T21:01:44.113543089Z,2024-05-07T21:01:47.173152910Z,2.62755805651347,2024-05-07T21:01:56.092570982Z,2024-05-07T21:01:56.372363212Z,2024-05-07T21:04:38.301383093Z,2024-05-07T21:04:34.016209944Z,2024-05-07T21:04:36.773483308Z,2.61455623308818,2024-05-07T21:04:45.811168379Z,2024-05-07T21:04:46.115050554Z,2024-05-07T21:07:27.02054922Z,2024-05-07T21:07:22.977357677Z,2024-05-07T21:07:25.589004823Z,2.60310032367706
collections;importlib;os;sys;torch,0,2.22943808237712,2024-05-07T21:07:37.317876055Z,2024-05-07T21:07:37.642670236Z,2024-05-07T21:09:55.263088189Z,2024-05-07T21:09:52.163439317Z,2024-05-07T21:09:53.912141745Z,2024-05-07T21:10:02.362815732Z,2024-05-07T21:10:02.624384005Z,2024-05-07T21:12:18.114307186Z,2024-05-07T21:12:15.106428245Z,2024-05-07T21:12:16.770490689Z,2.19689146280289,2024-05-07T21:12:25.126076163Z,2024-05-07T21:12:25.424859546Z,2024-05-07T21:14:42.670121497Z,2024-05-07T21:14:39.693043951Z,2024-05-07T21:14:41.365478491Z,2.22371280590693,2024-05-07T21:14:49.729237449Z,2024-05-07T21:14:49.979719901Z,2024-05-07T21:17:06.713784381Z,2024-05-07T21:17:03.951357193Z,2024-05-07T21:17:05.454382915Z,2.22094094355901,2024-05-07T21:17:13.60172599Z,2024-05-07T21:17:13.883087331Z,2024-05-07T21:19:37.802326425Z,2024-05-07T21:19:34.760065331Z,2024-05-07T21:19:36.496572578Z,2.33495174646378,2024-05-07T21:19:45.006985421Z,2024-05-07T21:19:45.298224016Z,2024-05-07T21:22:40.916972104Z,2024-05-07T21:22:37.665857295Z,2024-05-07T21:22:39.567720543Z,2.85828044017156
collections;importlib;os;torch,0.1,2.37805174191793,2024-05-07T21:22:50.377184966Z,2024-05-07T21:22:50.650572746Z,2024-05-07T21:25:17.412028088Z,2024-05-07T21:25:14.176279683Z,2024-05-07T21:25:16.060951041Z,2024-05-07T21:25:24.376577961Z,2024-05-07T21:25:24.655225319Z,2024-05-07T21:27:39.757637937Z,2024-05-07T21:27:36.535879546Z,2024-05-07T21:27:38.409314180Z,2.18706250985463,2024-05-07T21:27:47.177746237Z,2024-05-07T21:27:47.440886298Z,2024-05-07T21:30:03.176687384Z,2024-05-07T21:29:59.999098406Z,2024-05-07T21:30:01.831296665Z,2.19783492485682,2024-05-07T21:30:10.283176143Z,2024-05-07T21:30:10.544713973Z,2024-05-07T21:32:31.252965171Z,2024-05-07T21:32:28.233203504Z,2024-05-07T21:32:29.930691213Z,2.28360289732615,2024-05-07T21:32:38.489185276Z,2024-05-07T21:32:38.791506036Z,2024-05-07T21:34:54.157647504Z,2024-05-07T21:34:51.079384055Z,2024-05-07T21:34:52.806799454Z,2.19298801422119,2024-05-07T21:35:01.35559821Z,2024-05-07T21:35:01.61470672Z,2024-05-07T21:37:39.567235615Z,2024-05-07T21:37:36.588143741Z,2024-05-07T21:37:38.218854487Z,2.57012993097305
