Job_unique_id, Job_shared_id, Container_mode, Runtime, Start_time, Build_time
0, 0, 0, 0.002100, 2.550110, 8.220000
1, 1, 0, 0.001700, 2.550110, 8.220000
2, 2, 0, 0.002000, 2.550110, 8.220000
3, 0, 1, 0.002100, 2.550110, 8.220000
4, 1, 1, 0.001700, 2.550110, 8.220000
5, 2, 1, 0.002000, 2.550110, 8.220000
6, 0, 2, 0.002100, 2.550110, 8.220000
7, 1, 2, 0.001700, 2.550110, 8.220000
8, 2, 2, 0.002000, 0.702042, 0.000000
9, 0, 3, 0.002100, 2.550110, 8.220000
10, 1, 3, 0.001700, 0.702042, 0.000000
11, 2, 3, 0.002000, 0.702042, 0.000000
